,Country Name,City,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),PM25 temporal coverage (%),PM10 temporal coverage (%),NO2 temporal coverage (%),Updated Year
28,Australia,Adelaide,2013,7.25,16.87,8.65,97.5,96.92857144,94.47,2018
29,Australia,Adelaide,2014,7.1,16.66,9.4,96.55,98.17142857,96.34,2018
30,Australia,Adelaide,2015,7.45,16.06,9.78,97.4,96.92857143,94.46,2018
31,Australia,Adelaide,2016,6.88,16.19,8.27,93.05,93.32857143,87.24,2018
32,Australia,Adelaide,2017,7.54,16.47,13.45,95.1999999999999,95.4285714285714,87.0,2022
33,Australia,Adelaide,2018,6.78,19.21,12.11,89.2,89.7142857142857,89.0,2022
34,Australia,Adelaide,2019,6.14,20.64,11.57,97.2,91.4285714285714,91.8571428571428,2022
58,Australia,Brisbane,2016,6.61,15.21,7.22,97.18,96.92857157,94.6,2018
59,Australia,Brisbane,2019,7.5,19.5,8.43,91.3333333333333,92.25,98.3333333333333,2022
80,Australia,Canberra,2019,13.9,21.93,9.42,97.8999999999999,97.9333333333333,93.65,2022
82,Australia,Central Coast,2019,10.5,21.1,7.83,92.9,97.5,97.5339999999999,2022
91,Australia,Darwin,2013,6.9,19.8,7.8,93.05,93.32857143,68.784,2018
92,Australia,Darwin,2014,8.1,21.7,8.0,86.0,86.0,73.0,2022
93,Australia,Darwin,2014,8.1,21.7,8.0,93.05,93.32857143,70.604,2018
94,Australia,Darwin,2015,8.6,22.4,5.1,98.0,96.0,95.0,2022
96,Australia,Darwin,2016,6.49,16.4,5.0,99.0,99.0,95.0,2022
97,Australia,Darwin,2016,6.5,16.4,5.0,96.86,98.17142888,66.054,2018
98,Australia,Darwin,2017,7.0,17.65,5.75,66.5,66.5,77.5,2022
99,Australia,Darwin,2018,8.7,17.95,3.8,90.5,90.5,89.0,2022
100,Australia,Darwin,2019,9.1,22.8,3.65,96.5,96.5,90.9999999999999,2022
120,Australia,Gladstone,2015,4.09,13.01,6.15,93.05,93.32857143,83.344,2018
121,Australia,Gladstone,2016,4.88,13.82,8.73,96.96,98.17142898,84.2539999999999,2018
122,Australia,Gladstone,2019,7.1,17.57,4.77,95.3333333333333,95.3333333333333,98.3333333333333,2022
124,Australia,Gold Coast,2019,8.3,19.7,6.3,91.0,91.0,98.0,2022
127,Australia,Gunnedah,2019,11.2,24.8,9.7,94.1999999999999,91.7999999999999,98.0819999999999,2022
170,Australia,Muswellbrook,2014,9.7,21.44,19.47,97.6,96.92857199,95.02,2018
173,Australia,Muswellbrook,2019,12.2,34.4,20.46,95.1,99.2,97.5,2022
180,Australia,Newcastle/Lower Hunter,2019,11.13,25.73,15.72,96.8,97.4333333333333,95.3423333333333,2022
183,Australia,Palmerston,2012,12.0,25.9,7.0,97.67,96.92857206,95.09,2018
184,Australia,Palmerston,2014,9.25,21.1,7.6,82.0,83.0,81.0,2022
186,Australia,Palmerston,2015,7.8,20.1,7.4,94.0,93.0,94.0,2022
187,Australia,Palmerston,2015,7.8,20.1,7.4,97.66,96.92857205,95.08,2018
188,Australia,Palmerston,2016,7.15,15.2,3.8,92.0,92.0,93.0,2022
190,Australia,Palmerston,2017,7.3,19.5,4.5,96.0,96.0,85.0,2022
191,Australia,Palmerston,2018,8.7,19.7,4.9,97.0,97.0,96.0,2022
192,Australia,Palmerston,2019,9.75,22.0,4.5,99.0,99.0,94.0,2022
201,Australia,Perth,2019,6.84,12.58,9.09,96.2,95.9666666666666,97.35,2022
202,Australia,Perth,2019,6.84,12.58,9.09,96.2,95.9666666666666,97.35,2022
212,Australia,Singleton,2016,7.85,19.3,17.13,97.74,96.92857213,95.16,2018
213,Australia,Singleton,2019,10.9,30.1,14.23,97.5,98.9,97.3,2022
222,Australia,Sydney,2016,7.88,16.51,14.69,97.79,96.92857218,95.21,2018
223,Australia,Sydney,2019,11.27,23.62,15.31,93.8666666666666,98.1666666666666,97.2418,2022
231,Australia,Townsville,2019,7.0,20.2,3.5,94.0,94.0,96.0,2022
249,Australia,Wollongong/Illawarra,2013,7.75,16.92,12.03,97.93,96.92857232,95.35,2018
250,Australia,Wollongong/Illawarra,2014,7.01,17.05,10.89,97.94,96.92857233,95.36,2018
253,Australia,Wollongong/Illawarra,2019,8.8,22.53,10.18,95.5333333333333,91.6,97.1686666666666,2022
259,Australia,Wyong,2015,5.19,14.87,9.28,97.97,96.92857236,95.39,2018
418,Austria,Freistadt,2010,10.91,14.55,7.37,94.521,95.856,92.774,2022
465,Austria,Graz,2010,21.93,30.65,34.98,92.42,95.6011666666666,94.799,2022
591,Austria,Illmitz,2010,19.17,23.6,10.8,99.726,98.63,91.998,2022
600,Austria,Innsbruck,2010,16.11,22.83,28.56,100.0,99.178,95.94,2022
641,Austria,Klagenfurt,2010,18.12,24.87,37.72,99.178,99.7183333333333,95.1673333333333,2022
767,Austria,Linz,2010,20.49,27.8,33.91,100.0,95.5745,90.548,2022
881,Austria,Salzburg,2010,18.23,24.66,39.61,99.589,99.4633333333333,95.038,2022
904,Austria,Sankt Pöelten,2010,19.29,27.46,31.92,97.534,99.3835,94.0125,2022
983,Austria,Stixneusiedl,2010,15.23,25.65,15.85,98.082,98.824,94.612,2022
1104,Austria,Wels,2010,20.88,26.08,30.27,99.452,99.452,91.621,2022
1112,Austria,Wien,2010,21.57,30.04,31.36,100.0,99.5292307692307,95.2592352941176,2022
1211,Bahrain,Hidd,2019,36.72,119.46,55.82,82.7397260273972,83.0136986301369,85.2054794520548,2022
1232,Bahrain,Sitra,2019,44.73,100.27,47.43,83.5616438356164,84.3835616438356,76.4383561643835,2022
1237,Bangladesh,Barisal,2013,80.0,112.0,6.11,98.9,94.5,89.9,2018
1238,Bangladesh,Barisal,2014,83.0,128.0,5.87,81.1,98.9,99.7,2018
1239,Bangladesh,Barisal,2015,80.0,113.0,7.52,87.4,89.9,91.8,2018
1241,Bangladesh,Barisal,2017,33.11,112.55,17.79,100.0,33.33333333,100.0,2022
1242,Bangladesh,Barisal,2018,21.77,106.93,41.17,25.0,58.33333333,25.0,2022
1246,Bangladesh,Chittagong,2013,66.05,113.45,26.4,75.6,87.0,60.55,2018
